incident_id,data_year,ori,pug_agency_name,pub_agency_unit,agency_type_name,state_abbr,state_name,division_name,region_name,population_group_code,population_group_description,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
1417742,2022,OH0470000,Lorain,,County,OH,Ohio,East North Central,Midwest,9B,"MSA counties from 25,000 thru 99,999",1/22/2022,0,0,2,0,2,Multiple,Not Specified,1,Drug/Narcotic Violations,0,Highway/Road/Alley/Street/Sidewalk,Anti-Protestant,Society/Public,S,S
1418199,2022,CO0070300,Lafayette,,City,CO,Colorado,Mountain,West,4,"Cities from 25,000 thru 49,999",1/13/2022,1,0,4,4,0,White,Unknown,1,Aggravated Assault,1,Residence/Home,Anti-Hispanic or Latino,Individual,S,S
1418284,2022,OHCOP0000,Columbus,,City,OH,Ohio,East North Central,Midwest,1B,"Cities from 500,000 thru 999,999",1/1/2022,1,0,2,2,0,Unknown,Not Specified,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
1418341,2022,AL0310500,Rainbow City,,City,AL,Alabama,East South Central,South,5,"Cities from 10,000 thru 24,999",1/8/2022,2,0,3,3,0,White,Multiple,3,Destruction/Damage/Vandalism of Property;Weapon Law Violations,2,Parking/Drop Lot/Garage;Residence/Home,Anti-Black or African American,Individual;Society/Public,M,S
1418433,2022,MI3336400,East Lansing,,City,MI,Michigan,East North Central,Midwest,4,"Cities from 25,000 thru 49,999",1/22/2022,1,0,2,2,0,Unknown,Not Specified,1,Simple Assault,1,Bar/Nightclub,Anti-Jewish,Individual,S,S
1418641,2022,TXSPD0000,San Antonio,,City,TX,Texas,West South Central,South,1A,"Cities 1,000,000 or over",1/29/2022,0,1,3,0,3,White,Not Hispanic or Latino,1,Robbery,1,Parking/Drop Lot/Garage,Anti-Hispanic or Latino,Individual,S,S
1418835,2022,OHCLP0000,Cleveland,,City,OH,Ohio,East North Central,Midwest,1C,"Cities from 250,000 thru 499,999",1/18/2022,0,1,2,2,0,Black or African American,Not Specified,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Transgender,Individual,S,S
1418853,2022,NC0320100,Durham,,City,NC,North Carolina,South Atlantic,South,1C,"Cities from 250,000 thru 499,999",1/2/2022,1,0,4,4,0,Black or African American,Not Hispanic or Latino,1,Aggravated Assault,1,Hotel/Motel/Etc.,Anti-White,Individual,S,S
1418927,2022,ME0070200,Rockland,,City,ME,Maine,New England,Northeast,6,"Cities from 2,500 thru 9,999",1/14/2022,1,0,2,2,0,White,Unknown,1,Simple Assault,1,Bar/Nightclub,Anti-Gay (Male),Individual,S,S
1418949,2022,CT0000900,Bethel,,City,CT,Connecticut,New England,Northeast,5,"Cities from 10,000 thru 24,999",1/12/2022,0,1,2,2,0,Black or African American,Hispanic or Latino,1,Intimidation,1,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
1419020,2022,WY0110100,Cheyenne,,City,WY,Wyoming,Mountain,West,3,"Cities from 50,000 thru 99,999",1/28/2022,0,4,2,0,2,White,Not Hispanic or Latino,4,Simple Assault,4,School-Elementary/Secondary,Anti-Black or African American,Individual,S,S
1419047,2022,WA0340000,Thurston,,County,WA,Washington,Pacific,West,9A,"MSA counties 100,000 or over",1/27/2022,0,1,2,0,2,Unknown,Not Specified,1,Intimidation,1,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
1419208,2022,MI5030300,Center Line,,City,MI,Michigan,East North Central,Midwest,6,"Cities from 2,500 thru 9,999",2/22/2022,1,0,2,2,0,White,Not Specified,1,Intimidation,1,Highway/Road/Alley/Street/Sidewalk,"Anti-Multiple Races, Group",Individual,S,S
1419223,2022,MN0050100,Foley,,City,MN,Minnesota,West North Central,Midwest,6,"Cities from 2,500 thru 9,999",2/8/2022,0,1,2,0,2,Unknown,Unknown,1,Intimidation,1,School-Elementary/Secondary,Anti-Black or African American,Individual,S,S
1419442,2022,KS0620100,Beloit,,City,KS,Kansas,West North Central,Midwest,6,"Cities from 2,500 thru 9,999",1/29/2022,0,1,2,0,2,White,Not Specified,1,Intimidation,1,Residence/Home,Anti-Black or African American,Individual,S,S
1419446,2022,KS0880100,Liberal,,City,KS,Kansas,West North Central,Midwest,5,"Cities from 10,000 thru 24,999",1/20/2022,0,0,2,2,0,White,Not Specified,1,Drug Equipment Violations,0,Parking/Drop Lot/Garage,"Anti-Eastern Orthodox (Russian, Greek, Other)",Society/Public,S,S
1419450,2022,MO1010600,Sikeston,,City,MO,Missouri,West North Central,Midwest,5,"Cities from 10,000 thru 24,999",1/5/2022,1,0,2,2,0,Multiple,Unknown,1,Aggravated Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
1419485,2022,NJ0191800,Sparta Township,,City,NJ,New Jersey,Middle Atlantic,Northeast,5,"Cities from 10,000 thru 24,999",2/23/2022,2,0,2,2,0,Multiple,Not Hispanic or Latino,2,Intimidation,2,Residence/Home,Anti-White,Individual,S,S
1419630,2022,OH0781500,Bazetta Township,,City,OH,Ohio,East North Central,Midwest,6,"Cities from 2,500 thru 9,999",2/22/2022,0,0,2,2,0,White,Not Specified,1,Drug/Narcotic Violations,0,Department/Discount Store,Anti-Mental Disability,Society/Public,S,S
1419947,2022,MN0191100,Lakeville,,City,MN,Minnesota,West North Central,Midwest,3,"Cities from 50,000 thru 99,999",2/7/2022,0,1,2,0,2,White,Hispanic or Latino,1,Intimidation,1,Residence/Home,Anti-Black or African American,Individual,S,S
1420010,2022,NJ0160700,Passaic,,City,NJ,New Jersey,Middle Atlantic,Northeast,3,"Cities from 50,000 thru 99,999",2/16/2022,1,0,2,2,0,White,Hispanic or Latino,1,Intimidation,1,School/College,Anti-Other Race/Ethnicity/Ancestry,Individual,S,S
1420126,2022,WI0710300,Oshkosh,,City,WI,Wisconsin,East North Central,Midwest,3,"Cities from 50,000 thru 99,999",2/10/2022,0,1,2,0,2,Multiple,Not Hispanic or Latino,1,Intimidation,1,Cyberspace,Anti-Black or African American,Individual,S,S
1420293,2022,ID0030200,Pocatello,,City,ID,Idaho,Mountain,West,3,"Cities from 50,000 thru 99,999",1/15/2022,2,0,2,2,0,White,Not Hispanic or Latino,2,Simple Assault,2,Residence/Home,Anti-Gay (Male),Individual,S,S
1420298,2022,WV0540100,Parkersburg,,City,WV,West Virginia,South Atlantic,South,4,"Cities from 25,000 thru 49,999",2/7/2022,0,0,2,2,0,White,Not Specified,1,Drug/Narcotic Violations,0,Highway/Road/Alley/Street/Sidewalk,Anti-Gender Non-Conforming,Society/Public,S,S
1420391,2022,IL0490700,Highland Park,,City,IL,Illinois,East North Central,Midwest,4,"Cities from 25,000 thru 49,999",1/10/2022,1,0,4,4,0,White,Hispanic or Latino,1,Destruction/Damage/Vandalism of Property,1,Parking/Drop Lot/Garage,Anti-Gay (Male),Individual,S,S
1420393,2022,OH0230100,Lancaster,,City,OH,Ohio,East North Central,Midwest,4,"Cities from 25,000 thru 49,999",2/27/2022,1,0,2,2,0,Unknown,Not Specified,1,Robbery,1,Other/Unknown,Anti-Gay (Male),Individual,S,S
1420396,2022,OH0310000,Hamilton,,County,OH,Ohio,East North Central,Midwest,9A,"MSA counties 100,000 or over",2/21/2022,1,0,2,2,0,Black or African American,Not Specified,1,Aggravated Assault,1,Jail/Prison/Penitentiary/Corrections Facility,Anti-White,Individual,S,S
1420532,2022,TX2460900,Cedar Park,,City,TX,Texas,West South Central,South,3,"Cities from 50,000 thru 99,999",2/11/2022,0,1,2,2,0,Black or African American,Not Hispanic or Latino,1,Aggravated Assault,1,Residence/Home,Anti-Gay (Male),Individual,S,S
1420542,2022,TX1081000,Mission,,City,TX,Texas,West South Central,South,3,"Cities from 50,000 thru 99,999",1/20/2022,1,0,2,2,0,Multiple,Multiple,1,Simple Assault,1,Residence/Home,Anti-Catholic,Individual,S,S
1420609,2022,MA0130100,Boston,,City,MA,Massachusetts,New England,Northeast,1B,"Cities from 500,000 thru 999,999",2/7/2022,1,0,5,5,0,Unknown,Multiple,1,Simple Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
1420614,2022,MA0091100,Cambridge,,City,MA,Massachusetts,New England,Northeast,2,"Cities from 100,000 thru 249,999",1/5/2022,1,0,4,4,0,Black or African American,Multiple,1,Aggravated Assault,1,Highway/Road/Alley/Street/Sidewalk,Anti-Black or African American,Individual,S,S
1420814,2022,MO0480800,Lee's Summit,,City,MO,Missouri,West North Central,Midwest,2,"Cities from 100,000 thru 249,999",2/3/2022,0,0,3,0,3,White,Not Hispanic or Latino,1,Destruction/Damage/Vandalism of Property,0,Parking/Drop Lot/Garage,Anti-Black or African American,Government,S,S
1420815,2022,MO0810200,St. James,,City,MO,Missouri,West North Central,Midwest,6,"Cities from 2,500 thru 9,999",3/1/2022,1,0,2,2,0,White,Not Hispanic or Latino,1,Intimidation,1,Other/Unknown,Anti-Black or African American,Individual,S,S
1420843,2022,CO0180100,Castle Rock,,City,CO,Colorado,Mountain,West,3,"Cities from 50,000 thru 99,999",2/7/2022,0,1,2,0,2,White,Multiple,1,Simple Assault,1,School-Elementary/Secondary,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Individual,S,S
